,des_spring_k,des_spring_k,des_zeta,des_zeta,max_height,max_height,rollout/ep_len_mean,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/ep_rew_mean,time/fps,time/fps,train/actor_loss,train/actor_loss,train/critic_loss,train/critic_loss,train/learning_rate,train/learning_rate
,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time
175,5427.64013671875,1647375111.0558522,0.0026114729698747396,1647375111.0559354,0.0010931838769465685,1647375111.055978,43.75,1647375111.0560145,-0.06419025361537933,1647375111.0560484,3131.0,1647375111.056084,,,,,,
355,8789.6533203125,1647375111.1128087,0.006943623535335064,1647375111.1128812,0.004454490728676319,1647375111.112929,44.375,1647375111.112966,-0.06283474713563919,1647375111.1130004,3145.0,1647375111.1130357,,,,,,
565,6356.826171875,1647375111.1795504,0.002165398793295026,1647375111.1796281,0.0020830139983445406,1647375111.1796672,47.08333206176758,1647375111.179701,-0.06385699659585953,1647375111.1797338,3145.0,1647375111.1797678,,,,,,
675,6028.45751953125,1647375111.208562,0.00705661391839385,1647375111.2086112,0.0024912813678383827,1647375111.208642,42.1875,1647375111.2086687,-0.05988793820142746,1647375111.2086937,3234.0,1647375111.20872,,,,,,
787,4571.7041015625,1647375111.2346501,0.00946126226335764,1647375111.2347035,0.001304439501836896,1647375111.2347326,39.349998474121094,1647375111.2347558,-0.06191695109009743,1647375111.234778,3352.0,1647375111.234801,,,,,,
1006,5237.81298828125,1647375111.2796857,0.008999899961054325,1647375111.2797396,0.004023702349513769,1647375111.2797706,41.91666793823242,1647375111.2797973,-0.08049620687961578,1647375111.2798219,3595.0,1647375111.279848,,,,,,
1139,3712.34033203125,1647375111.3095,0.0059514520689845085,1647375111.309558,0.002918628277257085,1647375111.3095891,40.67856979370117,1647375111.3096132,-0.08417513966560364,1647375111.3096359,3678.0,1647375111.3096588,,,,,,
1269,8824.771484375,1647375111.338559,0.009864035993814468,1647375111.338613,0.002546941861510277,1647375111.3386524,39.65625,1647375111.3386767,-0.07730540633201599,1647375111.3386984,3746.0,1647375111.3387218,,,,,,
1392,2865.598876953125,1647375111.3644562,0.008764569647610188,1647375111.3645093,0.005104105453938246,1647375111.3645394,38.66666793823242,1647375111.3645637,-0.08838074654340744,1647375111.3645856,3817.0,1647375111.3646092,,,,,,
1553,9404.3525390625,1647375111.4016511,0.005592061206698418,1647375111.401743,0.00043583937804214656,1647375111.4018004,38.82500076293945,1647375111.4018545,-0.08982157707214355,1647375111.4019067,3865.0,1647375111.4019601,,,,,,
1649,9583.853515625,1647375111.4238503,0.009088052436709404,1647375111.4239006,0.0009177933097817004,1647375111.423929,37.477272033691406,1647375111.4239533,-0.09973195195198059,1647375111.423976,3889.0,1647375111.4239993,,,,,,
1805,9206.3173828125,1647375111.4584432,0.009479721076786518,1647375111.4584959,0.0031889094971120358,1647375111.4585252,37.60416793823242,1647375111.458549,-0.1985234171152115,1647375111.4585707,3936.0,1647375111.458594,,,,,,
1939,3642.637451171875,1647375111.4868279,0.005897835362702608,1647375111.4868796,0.0076918164268136024,1647375111.4869082,37.28845977783203,1647375111.4869323,-0.18625761568546295,1647375111.4869545,3981.0,1647375111.4869776,,,,,,
2033,9153.66015625,1647375111.5075748,5.8152072597295046e-05,1647375111.5076256,0.002568476367741823,1647375111.5076542,36.30356979370117,1647375111.5076783,-0.19003060460090637,1647375111.5077198,4004.0,1647375111.507768,,,,,,
2190,4403.39697265625,1647375111.5420392,0.007184626068919897,1647375111.5420926,0.0018690621946007013,1647375111.5421245,36.5,1647375111.5421522,-0.20557895302772522,1647375111.5421774,4039.0,1647375111.5422096,,,,,,
2329,8565.1318359375,1647375111.5736678,0.004412536043673754,1647375111.5737407,0.0018492756644263864,1647375111.5737984,36.390625,1647375111.5738366,-0.19422867894172668,1647375111.5738616,4059.0,1647375111.5738862,,,,,,
2422,9260.5869140625,1647375111.598089,0.006878100801259279,1647375111.5981593,0.002042903332039714,1647375111.5982027,35.617645263671875,1647375111.5982294,-0.18544922769069672,1647375111.5982523,4048.0,1647375111.5982761,,,,,,
2523,7767.2568359375,1647375111.6220758,0.0057259914465248585,1647375111.6221557,0.00019802704628091305,1647375111.6222134,35.04166793823242,1647375111.622268,-0.17809851467609406,1647375111.62232,4055.0,1647375111.6223729,,,,,,
2644,8847.2041015625,1647375111.6519408,0.001672172686085105,1647375111.6520014,0.000846672395709902,1647375111.6520317,34.78947448730469,1647375111.652056,-0.1968122124671936,1647375111.6520786,4054.0,1647375111.6521025,,,,,,
2798,8408.7353515625,1647375111.6856627,0.0008304922375828028,1647375111.6857197,0.004447371233254671,1647375111.6857495,34.974998474121094,1647375111.6857738,-0.1906539350748062,1647375111.6857958,4080.0,1647375111.6858191,,,,,,
2921,4030.2041015625,1647375111.712249,0.0037841093726456165,1647375111.7123165,0.001996715785935521,1647375111.7123587,34.77381134033203,1647375111.7123954,-0.18253245949745178,1647375111.712431,4100.0,1647375111.7124672,,,,,,
2999,4729.193359375,1647375111.7296338,0.0007816415163688362,1647375111.729695,0.0026363166980445385,1647375111.729724,34.07954406738281,1647375111.729748,-0.17972420156002045,1647375111.7297704,4109.0,1647375111.729794,,,,,,
3102,5171.3427734375,1647375111.7516303,0.005830585025250912,1647375111.751679,0.002353678224608302,1647375111.7517078,33.71739196777344,1647375111.7517319,-0.1751200258731842,1647375111.7517626,4126.0,1647375111.7517867,,,,,,
3249,6768.88671875,1647375111.7829754,0.005204926244914532,1647375111.7830274,0.01603792794048786,1647375111.7830555,33.84375,1647375111.7830794,-0.16903415322303772,1647375111.7831018,4148.0,1647375111.783125,,,,,,
3367,4098.1162109375,1647375111.8092268,0.0021728987339884043,1647375111.8092763,0.002533647231757641,1647375111.8093038,33.66999816894531,1647375111.8093264,-0.17294293642044067,1647375111.8093479,4160.0,1647375111.8093824,,,,,,
3587,4187.10498046875,1647375111.8550327,0.009274931624531746,1647375111.8550837,0.0002931065682787448,1647375111.8551214,34.119998931884766,1647375111.8551695,-0.17156502604484558,1647375111.8552125,4194.0,1647375111.85524,,,,,,
3707,7616.525390625,1647375111.8810234,0.004879553336650133,1647375111.8810775,0.001129446318373084,1647375111.881131,33.52000045776367,1647375111.881175,-0.1696358174085617,1647375111.8812008,4207.0,1647375111.8812258,,,,,,
3881,8612.751953125,1647375111.9197814,0.003115312196314335,1647375111.9198577,0.0016906997188925743,1647375111.91989,33.15999984741211,1647375111.9199147,-0.17422178387641907,1647375111.9199376,4219.0,1647375111.9199617,,,,,,
4007,9157.8701171875,1647375111.9473202,0.005457488354295492,1647375111.947389,0.0004787961079273373,1647375111.9474223,33.31999969482422,1647375111.9474473,-0.17381978034973145,1647375111.9474702,4229.0,1647375111.9474945,,,,,,
4111,9140.37109375,1647375111.970438,0.007456147577613592,1647375111.9704976,0.00024689105339348316,1647375111.9705286,33.2400016784668,1647375111.970553,-1.2581995725631714,1647375111.9705756,4235.0,1647375111.9705992,,,,,,
4463,9408.4599609375,1647375112.0445874,0.002865654183551669,1647375112.0446527,0.0010665113804861903,1647375112.044682,34.56999969482422,1647375112.044706,-1.254115343093872,1647375112.0447283,4272.0,1647375112.044752,,,,,,
4575,6606.265625,1647375112.0734642,0.0004044123343192041,1647375112.0735126,0.0011994949309155345,1647375112.0735407,34.36000061035156,1647375112.073565,-1.2506113052368164,1647375112.0735872,4261.0,1647375112.0736108,,,,,,
4685,9116.90625,1647375112.096539,0.0009782073320820928,1647375112.0965862,0.004386106040328741,1647375112.0966232,34.15999984741211,1647375112.0966475,-1.250119924545288,1647375112.0966704,4272.0,1647375112.096694,,,,,,
4818,5993.86767578125,1647375112.128057,0.006355503108352423,1647375112.12811,0.0004974614130333066,1647375112.128139,34.2599983215332,1647375112.1281629,-1.2555423974990845,1647375112.128185,4270.0,1647375112.1282084,,,,,,
4944,5600.4453125,1647375112.1546445,0.009000936523079872,1647375112.1546948,0.00015100240125320852,1647375112.1547241,33.90999984741211,1647375112.1547482,-1.25332510471344,1647375112.1547704,4281.0,1647375112.1547937,,,,,,
5108,5715.525390625,1647375112.1891906,0.009549306705594063,1647375112.189243,0.0007900389027781785,1647375112.189273,34.59000015258789,1647375112.1892974,-1.2670328617095947,1647375112.1893198,4295.0,1647375112.1893435,,,,,,
5227,4032.237060546875,1647375112.2145867,0.007350612431764603,1647375112.214636,0.0005013857735320926,1647375112.2146652,34.220001220703125,1647375112.214689,-1.2199946641921997,1647375112.214711,4303.0,1647375112.2147348,,,,,,
5346,3848.03125,1647375112.2399168,0.007991598919034004,1647375112.2399688,0.004141359124332666,1647375112.239998,34.06999969482422,1647375112.2400222,-1.2205803394317627,1647375112.2400444,4311.0,1647375112.2400672,,,,,,
5494,3418.304931640625,1647375112.2710228,0.004614861216396093,1647375112.2710733,0.004176644142717123,1647375112.2711022,34.61000061035156,1647375112.2711263,-1.2126951217651367,1647375112.2711482,4322.0,1647375112.2711718,,,,,,
