,des_spring_k,des_spring_k,des_zeta,des_zeta,max_height,max_height,rollout/ep_len_mean,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/ep_rew_mean,time/fps,time/fps,train/actor_loss,train/actor_loss,train/critic_loss,train/critic_loss,train/learning_rate,train/learning_rate
,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time
153,4455.10888671875,1647275191.1838279,0.003430756041780114,1647275191.1839142,0.0016038324683904648,1647275191.1839702,38.25,1647275191.1840222,-0.07223449647426605,1647275191.1840527,4208.0,1647275191.184078,,,,,,
320,4295.69677734375,1647275191.220989,0.005590721964836121,1647275191.2210457,0.0007750227232463658,1647275191.2210755,40.0,1647275191.2211,-0.08000949770212173,1647275191.2211232,4350.0,1647275191.221148,,,,,,
429,7740.64453125,1647275191.2469788,0.005144080147147179,1647275191.2470412,0.0012276418274268508,1647275191.2470984,35.75,1647275191.2471538,-0.0658649131655693,1647275191.2472093,4309.0,1647275191.2472456,,,,,,
546,6491.0244140625,1647275191.2764606,0.0014384781243279576,1647275191.2765167,0.004532384220510721,1647275191.276569,34.125,1647275191.2766244,-0.05991693586111069,1647275191.2766802,4231.0,1647275191.2767384,,,,,,
657,8274.4189453125,1647275191.3008645,0.004277332685887814,1647275191.3009372,0.0025149937719106674,1647275191.3009706,32.849998474121094,1647275191.300997,-0.05820139870047569,1647275191.301021,4282.0,1647275191.301047,,,,,,
762,8728.943359375,1647275191.3324714,0.009217697195708752,1647275191.3325357,0.0002482285490259528,1647275191.3325672,31.75,1647275191.3325925,-0.056909915059804916,1647275191.3326163,4118.0,1647275191.3326416,,,,,,
901,4724.8115234375,1647275191.3684688,0.009525041095912457,1647275191.3685362,0.0037011976819485426,1647275191.3685684,32.17856979370117,1647275191.3685942,-0.0576273575425148,1647275191.368618,4076.0,1647275191.3686435,,,,,,
1048,7937.80419921875,1647275191.4005995,0.009789923205971718,1647275191.4006572,0.004366615787148476,1647275191.4006884,32.75,1647275191.400728,-0.05838974937796593,1647275191.4007812,4139.0,1647275191.4008377,,,,,,
1234,3267.611083984375,1647275191.4684734,0.006180752068758011,1647275191.4685724,0.006134075578302145,1647275191.4686344,34.27777862548828,1647275191.4686892,-0.06245966628193855,1647275191.4687445,3844.0,1647275191.468801,,,,,,
1383,5033.56103515625,1647275191.5179389,0.00492427172139287,1647275191.5180242,0.0027365689165890217,1647275191.5180848,34.57500076293945,1647275191.5181437,-0.0620332732796669,1647275191.518197,3733.0,1647275191.5182486,,,,,,
1557,3526.67578125,1647275191.5648293,0.0060705626383423805,1647275191.5649266,0.005672660656273365,1647275191.5649676,35.3863639831543,1647275191.564997,-0.06464818120002747,1647275191.5650227,3730.0,1647275191.5650496,,,,,,
1804,7265.0703125,1647275191.6198123,0.009389210492372513,1647275191.6198776,0.004650877323001623,1647275191.6199088,37.58333206176758,1647275191.6199348,-0.07224968820810318,1647275191.6199594,3819.0,1647275191.6199846,,,,,,
1927,6853.92431640625,1647275191.645633,0.00978229008615017,1647275191.6456895,0.00399334030225873,1647275191.6457217,37.05769348144531,1647275191.645747,-0.07013590633869171,1647275191.645771,3867.0,1647275191.6457963,,,,,,
2046,5984.142578125,1647275191.6724546,0.008605294860899448,1647275191.672536,0.001329903258010745,1647275191.6725976,36.53571319580078,1647275191.6726573,-0.06918074935674667,1647275191.6727183,3897.0,1647275191.6727746,,,,,,
2220,6091.8828125,1647275191.7095747,0.00855450052767992,1647275191.7096343,0.0012567401863634586,1647275191.7096891,37.0,1647275191.709745,-0.07075738161802292,1647275191.7098007,3949.0,1647275191.7098565,,,,,,
2330,7947.81005859375,1647275191.7338915,0.003568022046238184,1647275191.7339468,0.0019400302553549409,1647275191.7339783,36.40625,1647275191.7340043,-0.06920678168535233,1647275191.7340286,3972.0,1647275191.7340634,,,,,,
2448,6742.96142578125,1647275191.7594535,0.006096834782510996,1647275191.7595062,0.0014133845688775182,1647275191.7595375,36.0,1647275191.7595632,-0.06733222305774689,1647275191.7595997,3999.0,1647275191.7596552,,,,,,
2611,3859.03466796875,1647275191.794662,0.007864805869758129,1647275191.7947216,0.0014571025967597961,1647275191.7947795,36.26388931274414,1647275191.7948327,-0.06808184832334518,1647275191.794881,4034.0,1647275191.7949314,,,,,,
2723,9178.51171875,1647275191.8210418,0.007185604888945818,1647275191.8211071,0.0011689827078953385,1647275191.821168,35.828948974609375,1647275191.8212264,-0.0667320117354393,1647275191.8212767,4042.0,1647275191.8213265,,,,,,
2833,4013.3046875,1647275191.8463006,0.007887727580964565,1647275191.8463593,0.001021708594635129,1647275191.8463914,35.412498474121094,1647275191.8464172,-0.06537719815969467,1647275191.8464413,4053.0,1647275191.8464665,,,,,,
2947,3647.104248046875,1647275191.8710315,0.002019399544224143,1647275191.8710892,0.004489079583436251,1647275191.8711212,35.08333206176758,1647275191.8711467,-0.06404955685138702,1647275191.871171,4072.0,1647275191.8711967,,,,,,
3101,7397.94873046875,1647275191.9033134,0.008195065893232822,1647275191.9033692,0.0038381388876587152,1647275191.9034004,35.2386360168457,1647275191.9034266,-0.06478208303451538,1647275191.9034586,4102.0,1647275191.903487,,,,,,
3215,8571.716796875,1647275191.928405,0.0026447270065546036,1647275191.9284644,0.0019755985122174025,1647275191.9284968,34.94565200805664,1647275191.9285226,-0.06388311088085175,1647275191.928547,4116.0,1647275191.9285722,,,,,,
3338,3687.29443359375,1647275191.9548652,0.009002949111163616,1647275191.9549224,0.0003038661670871079,1647275191.9549553,34.77083206176758,1647275191.9549816,-0.0628722608089447,1647275191.955006,4134.0,1647275191.9550316,,,,,,
3512,5826.279296875,1647275191.9911635,0.0059282975271344185,1647275191.9912198,0.0046149627305567265,1647275191.9912512,35.119998931884766,1647275191.9912763,-0.06405656784772873,1647275191.9913006,4162.0,1647275191.991326,,,,,,
3610,7061.71142578125,1647275192.013469,0.006737548392266035,1647275192.0135238,0.004810245707631111,1647275192.013556,34.56999969482422,1647275192.0135818,-0.061997439712285995,1647275192.0136063,4168.0,1647275192.0136318,,,,,,
3771,3548.394287109375,1647275192.0500944,0.0038847862742841244,1647275192.0501523,0.008290579542517662,1647275192.050184,34.5099983215332,1647275192.0502093,-0.06087803840637207,1647275192.0502336,4177.0,1647275192.0502589,,,,,,
3889,9573.2197265625,1647275192.0781035,0.0033191400580108166,1647275192.078155,9.393648360855877e-05,1647275192.0781863,34.599998474121094,1647275192.0782118,-0.06183186173439026,1647275192.0782356,4178.0,1647275192.078261,,,,,,
4057,7510.7392578125,1647275192.1155212,0.009069840423762798,1647275192.1155775,0.0028734803199768066,1647275192.115608,35.11000061035156,1647275192.115634,-0.06318479776382446,1647275192.1156583,4190.0,1647275192.1156936,,,,,,
4186,5442.81298828125,1647275192.145881,0.0015710642328485847,1647275192.1459382,0.0014860972296446562,1647275192.145971,35.290000915527344,1647275192.1459973,-0.06326410919427872,1647275192.1460216,4192.0,1647275192.146047,,,,,,
4285,5748.6298828125,1647275192.167135,0.005572348367422819,1647275192.1671903,0.0006688692374154925,1647275192.1672215,35.22999954223633,1647275192.167247,-0.06266216188669205,1647275192.1672719,4202.0,1647275192.1672976,,,,,,
4404,9077.1767578125,1647275192.1929994,0.007144350558519363,1647275192.1930664,0.0025259109679609537,1647275192.1930995,35.029998779296875,1647275192.1931305,-0.061637818813323975,1647275192.193155,4212.0,1647275192.1931806,,,,,,
4538,2978.07373046875,1647275192.222116,0.007556741125881672,1647275192.2221837,0.0018529356457293034,1647275192.2222176,34.900001525878906,1647275192.222244,-0.061422739177942276,1647275192.2222698,4222.0,1647275192.2222955,,,,,,
4664,6294.54052734375,1647275192.2494764,0.00950530357658863,1647275192.2495434,0.0003732027253136039,1647275192.2495763,34.29999923706055,1647275192.2496023,-0.060309961438179016,1647275192.2496438,4232.0,1647275192.249686,,,,,,
4781,2827.847900390625,1647275192.275227,0.009625975042581558,1647275192.2753088,0.0010408759117126465,1647275192.2753458,33.97999954223633,1647275192.2753727,-0.0602591298520565,1647275192.275397,4239.0,1647275192.2754238,,,,,,
4921,5790.43115234375,1647275192.3049989,4.663015715777874e-05,1647275192.3050525,0.010983400046825409,1647275192.3050833,33.63999938964844,1647275192.3051097,-0.058223411440849304,1647275192.305134,4251.0,1647275192.3051596,,,,,,
5041,7237.77978515625,1647275192.3303633,0.000721824704669416,1647275192.330425,0.0018139614257961512,1647275192.330456,32.369998931884766,1647275192.330481,-0.05326097831130028,1647275192.3305056,4261.0,1647275192.330531,,,,,,
5174,6935.1748046875,1647275192.3591416,0.001130659133195877,1647275192.3591971,0.0007153335609473288,1647275192.3592284,32.470001220703125,1647275192.3592546,-0.05368760973215103,1647275192.3592796,4270.0,1647275192.3593056,,,,,,
5445,9386.8818359375,1647275192.4152043,0.0073691620491445065,1647275192.4152768,0.005746680777519941,1647275192.4153109,33.9900016784668,1647275192.4153373,-0.057308509945869446,1647275192.415362,4295.0,1647275192.415388,,,,,,
5619,7364.93896484375,1647275192.4541435,0.0062040118500590324,1647275192.4542205,0.0024596245493739843,1647275192.4542704,33.9900016784668,1647275192.454315,-0.0568692684173584,1647275192.4543588,4300.0,1647275192.4544032,,,,,,
5812,5369.736328125,1647275192.4965653,0.0012866435572504997,1647275192.4966283,0.007153635378926992,1647275192.4966607,34.81999969482422,1647275192.496697,-0.0592065304517746,1647275192.4967275,4308.0,1647275192.4967537,,,,,,
