# Time, Reward, Input, RodPos, RodVel, ActPos, ActVel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.006281249999999818e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000021e-02,-1.155271652561698937e-03,-9.994908332824707031e+00,-1.155271652561698937e-03,8.510095974383008466e-02,3.000509166717529267e-03,-9.994908332824707642e-02
2.000000000000000042e-02,-3.248330424518635967e-04,-4.785333156585693359e+00,-3.248330424518635967e-04,8.304386101098353012e-02,1.522485017776489119e-03,-1.478024148941040061e-01
2.999999999999999889e-02,-1.189003348663385056e-04,-2.457899570465087891e+00,-1.189003348663385056e-04,2.059327075855250933e-02,0.000000000000000000e+00,-1.723814105987548917e-01
4.000000000000000083e-02,-1.690152736210449045e-03,1.000000000000000000e+01,-1.690152736210449045e-03,-1.571252401344110372e-01,0.000000000000000000e+00,-7.238141059875488614e-02
5.000000000000000278e-02,-4.245449559039922958e-03,1.000000000000000000e+01,-4.245449559039922958e-03,-2.555296822829473680e-01,2.761858940124512266e-04,2.761858940124511941e-02
5.999999999999999778e-02,-6.521579707439133754e-03,1.000000000000000000e+01,-6.521579707439133754e-03,-2.276130148399210795e-01,1.552371788024902582e-03,1.276185894012451250e-01
7.000000000000000666e-02,-7.409500892160900132e-03,1.000000000000000000e+01,-7.409500892160900132e-03,-8.879211847217663434e-02,3.828557682037353905e-03,2.276185894012451305e-01
8.000000000000000167e-02,-6.494465687511143982e-03,1.000000000000000000e+01,-6.494465687511143982e-03,9.150352046497564618e-02,7.104743576049805248e-03,3.276185894012451083e-01
8.999999999999999667e-02,-2.546222136848325102e-03,-1.000000000000000000e+01,-2.546222136848325102e-03,3.948243550662818846e-01,8.000000000000000167e-03,2.276185894012451028e-01
1.000000000000000056e-01,2.462259416217165396e-03,-1.000000000000000000e+01,2.462259416217165396e-03,5.008481553065490255e-01,8.000000000000000167e-03,1.276185894012450972e-01
1.100000000000000006e-01,7.341184093221535256e-03,-1.000000000000000000e+01,7.341184093221535256e-03,4.878924677004369825e-01,8.000000000000000167e-03,2.761858940124509165e-02
1.199999999999999956e-01,1.209055189416478535e-02,-1.000000000000000000e+01,1.209055189416478535e-02,4.749367800943249396e-01,7.276185894012450993e-03,-7.238141059875491390e-02
1.300000000000000044e-01,1.671036281904691306e-02,-1.000000000000000000e+01,1.671036281904691306e-02,4.619810924882128966e-01,5.552371788024901798e-03,-1.723814105987549194e-01
1.400000000000000133e-01,2.120061686786792188e-02,-1.000000000000000000e+01,2.120061686786792188e-02,4.490254048821008537e-01,2.828557682037352583e-03,-2.723814105987549250e-01
1.499999999999999944e-01,2.556131404062780832e-02,-1.000000000000000000e+01,2.556131404062780832e-02,4.360697172759888107e-01,0.000000000000000000e+00,-3.723814105987549583e-01
1.600000000000000033e-01,2.894101121338769553e-02,0.000000000000000000e+00,2.894101121338769553e-02,3.379697172759887902e-01,0.000000000000000000e+00,-3.723814105987549583e-01
1.700000000000000122e-01,3.133970838614758003e-02,0.000000000000000000e+00,3.133970838614758003e-02,2.398697172759887697e-01,0.000000000000000000e+00,-3.723814105987549583e-01
1.799999999999999933e-01,3.275740555890746530e-02,0.000000000000000000e+00,3.275740555890746530e-02,1.417697172759887492e-01,0.000000000000000000e+00,-3.723814105987549583e-01
1.900000000000000022e-01,3.319410273166735481e-02,0.000000000000000000e+00,3.319410273166735481e-02,4.366971727598874253e-02,0.000000000000000000e+00,-3.723814105987549583e-01
2.000000000000000111e-01,3.264979990442724161e-02,0.000000000000000000e+00,3.264979990442724161e-02,-5.443028272401126411e-02,0.000000000000000000e+00,-3.723814105987549583e-01
2.099999999999999922e-01,3.112449707718712918e-02,0.000000000000000000e+00,3.112449707718712918e-02,-1.525302827240112569e-01,0.000000000000000000e+00,-3.723814105987549583e-01
2.200000000000000011e-01,2.861819424994701752e-02,0.000000000000000000e+00,2.861819424994701752e-02,-2.506302827240112774e-01,0.000000000000000000e+00,-3.723814105987549583e-01
2.300000000000000100e-01,2.513089142270690315e-02,0.000000000000000000e+00,2.513089142270690315e-02,-3.487302827240112979e-01,0.000000000000000000e+00,-3.723814105987549583e-01
2.399999999999999911e-01,2.066258859546678955e-02,0.000000000000000000e+00,2.066258859546678955e-02,-4.468302827240113184e-01,0.000000000000000000e+00,-3.723814105987549583e-01
2.500000000000000000e-01,1.521328576822667672e-02,0.000000000000000000e+00,1.521328576822667672e-02,-5.449302827240113389e-01,0.000000000000000000e+00,-3.723814105987549583e-01
2.600000000000000089e-01,8.782982940986564652e-03,0.000000000000000000e+00,8.782982940986564652e-03,-6.430302827240113039e-01,0.000000000000000000e+00,-3.723814105987549583e-01
2.700000000000000178e-01,1.371680113746451615e-03,0.000000000000000000e+00,1.371680113746451615e-03,-7.411302827240112689e-01,0.000000000000000000e+00,-3.723814105987549583e-01
