# Time, Reward, Height, Motor1Pos, Motor1Vel, Motor2Pos, Motor2Vel
0.000000000000000000e+00,5.010290000000015009e-01,2.505145000000007505e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.010290000000015009e-01,2.505145000000007505e-01,-2.399824566430443576e-02,-5.759578959433064860e+00,-2.399827721492202651e-02,-5.759586531581286195e+00
2.000000000000000000e+00,5.010316838264121664e-01,2.505158419132060832e-01,-4.799649506181473402e-02,-5.759579855402471971e+00,-4.799655442984405995e-02,-5.759586531581287083e+00
3.000000000000000000e+00,5.007557955255154125e-01,2.503778977627577063e-01,-7.199473657442055641e-02,-5.759577963025397374e+00,-7.199483164476608299e-02,-5.759586531581287083e+00
4.000000000000000000e+00,5.001987858649383778e-01,2.500993929324691889e-01,-9.599298526788402341e-02,-5.759579686431231416e+00,-9.599310885968811990e-02,-5.759586531581287083e+00
5.000000000000000000e+00,4.993544185630751642e-01,2.496772092815375821e-01,-1.199912335334612501e-01,-5.759579583738536179e+00,-1.199913860746101568e-01,-5.759586531581287083e+00
6.000000000000000000e+00,4.982130938339214832e-01,2.491065469169607416e-01,-1.439894726302129169e-01,-5.759577383220400471e+00,-1.439896632895321937e-01,-5.759586531581287083e+00
7.000000000000000000e+00,4.967618942756862888e-01,2.483809471378431444e-01,-1.679877210894705764e-01,-5.759579630221836943e+00,-1.679879405044542307e-01,-5.759586531581287083e+00
8.000000000000000000e+00,4.949843968255281945e-01,2.474921984127640973e-01,-1.919859646126247654e-01,-5.759578445557004933e+00,-1.919862177193762676e-01,-5.759586531581287083e+00
9.000000000000000000e+00,4.928604470285438688e-01,2.464302235142719344e-01,-2.159842418275468023e-01,-5.759586531581287083e+00,-2.159844949342983045e-01,-5.759586531581287083e+00
1.000000000000000000e+01,4.903194548293413613e-01,2.451597274146706806e-01,-2.399825190424688393e-01,-5.759586531581287083e+00,-2.399827721492203414e-01,-5.759586531581287083e+00
1.100000000000000000e+01,4.872933647776504507e-01,2.436466823888252253e-01,-2.639807962573908484e-01,-5.759586531581287083e+00,-2.639810493641423506e-01,-5.759586531581287083e+00
1.200000000000000000e+01,4.838081523698276598e-01,2.419040761849138299e-01,-2.879790734723128853e-01,-5.759586531581287083e+00,-2.879793265790643875e-01,-5.759586531581287083e+00
1.300000000000000000e+01,4.798836231039631528e-01,2.399418115519815764e-01,-3.115410772897228009e-01,-5.654880916178373518e+00,-3.115412714809878136e-01,-5.654866776461626721e+00
1.400000000000000000e+01,4.755329814048294690e-01,2.377664907024147345e-01,-3.327468760105668499e-01,-5.089391693002566441e+00,-3.327470218927189305e-01,-5.089380098815463604e+00
1.500000000000000000e+01,4.707561845648466914e-01,2.353780922824233457e-01,-3.518321024787532392e-01,-4.580454352364730752e+00,-3.518321972632769135e-01,-4.580442088933917688e+00
1.600000000000000000e+01,4.655688165558687364e-01,2.327844082779343682e-01,-3.690088017689729383e-01,-4.122407829652724232e+00,-3.690088550967791092e-01,-4.122397880040525209e+00
1.700000000000000000e+01,4.599838176485216978e-01,2.299919088242608489e-01,-3.844677991519055427e-01,-3.710159371903821501e+00,-3.844677120157192762e-01,-3.710125660545639636e+00
1.800000000000000000e+01,4.540266237631115365e-01,2.270133118815557682e-01,-3.983808967965448700e-01,-3.339143434713438996e+00,-3.983809574025251599e-01,-3.339178892833410739e+00
1.900000000000000000e+01,4.477121194541633376e-01,2.238560597270816688e-01,-4.109026846767202534e-01,-3.005229091242094253e+00,-4.109026053202136652e-01,-3.005195500245238627e+00
2.000000000000000000e+01,4.410347135319053757e-01,2.205173567659526879e-01,-4.221722937688781041e-01,-2.704706182117885049e+00,-4.221720892671828040e-01,-2.704676147272592868e+00
2.100000000000000000e+01,4.339932115991796957e-01,2.169966057995898479e-01,-4.323149419518201864e-01,-2.434235563906097521e+00,-4.323146242328106403e-01,-2.434208391750677158e+00
2.200000000000000000e+01,4.265920429905877276e-01,2.132960214952938638e-01,-4.414433253164680715e-01,-2.190812007515487103e+00,-4.414428965660748272e-01,-2.190785359983406622e+00
2.300000000000000000e+01,4.188362555020889166e-01,2.094181277510444583e-01,-4.496588703446511293e-01,-1.971730806763937860e+00,-4.496583433090407533e-01,-1.971707218311818277e+00
2.400000000000000000e+01,4.107295511308600711e-01,2.053647755654300355e-01,-4.570528608700158979e-01,-1.774557726087544696e+00,-4.570522449763838591e-01,-1.774536400162345373e+00
2.500000000000000000e+01,4.022745214435796690e-01,2.011372607217898345e-01,-4.637074523428441619e-01,-1.597101953478790026e+00,-4.637067592883449829e-01,-1.597083434870675278e+00
2.600000000000000000e+01,3.934731899858285864e-01,1.967365949929142932e-01,-4.696965846683896495e-01,-1.437391758130911690e+00,-4.696958250392984091e-01,-1.437375780228816957e+00
2.700000000000000000e+01,3.843272672980380111e-01,1.921636336490190056e-01,-4.750868037613805717e-01,-1.293652582317820432e+00,-4.750859787238548293e-01,-1.293636884293540623e+00
2.800000000000000000e+01,1.874191055366972725e-01,1.874191055366972725e-01,-4.799380009450723850e-01,-1.164287324086037634e+00,-4.799372584112992501e-01,-1.164307124986655673e+00
2.900000000000000000e+01,1.866592978876537856e-01,1.866592978876537856e-01,-4.843040784103950225e-01,-1.047858591677434559e+00,-4.843034101299992233e-01,-1.047876412487989795e+00
3.000000000000000000e+01,1.866256225224766363e-01,1.866256225224766363e-01,-4.882335481291854018e-01,-9.430727325096910363e-01,-4.882329466768292048e-01,-9.430887712391902156e-01
3.100000000000000000e+01,1.865918851157818970e-01,1.865918851157818970e-01,-4.917700708760967543e-01,-8.487654592587215996e-01,-4.917695295689761825e-01,-8.487798941152705501e-01
3.200000000000000000e+01,1.865587322068163467e-01,1.865587322068163467e-01,-4.949529413483169660e-01,-7.638889133328493619e-01,-4.949524541719084736e-01,-7.639019047037433063e-01
3.300000000000000000e+01,1.865266270087141964e-01,1.865266270087141964e-01,-4.978175247733151454e-01,-6.875000219995645034e-01,-4.978170863145475189e-01,-6.875117142333682096e-01
3.400000000000000000e+01,1.864958894996875949e-01,1.864958894996875949e-01,-5.003956498558135291e-01,-6.187500197996080864e-01,-5.003952552429226097e-01,-6.187605428100311222e-01
3.500000000000000000e+01,1.864667285779447181e-01,1.864667285779447181e-01,-5.027159624300620022e-01,-5.568750178196467671e-01,-5.027156072784602081e-01,-5.568844885290289426e-01
3.600000000000000000e+01,1.864392677662045639e-01,1.864392677662045639e-01,-5.048042437468857058e-01,-5.011875160376835225e-01,-5.048039241104440578e-01,-5.011960396761266923e-01
3.700000000000000000e+01,1.864135656854772338e-01,1.864135656854772338e-01,-5.066836969320269723e-01,-4.510687644339148594e-01,-5.066834092592295002e-01,-4.510764357085144116e-01
3.800000000000000000e+01,1.863896322970357844e-01,1.863896322970357844e-01,-5.083752047986541678e-01,-4.059618879905242395e-01,-5.083749458931364762e-01,-4.059687921376636255e-01
3.900000000000000000e+01,1.863674417288903040e-01,1.863674417288903040e-01,-5.098975618786186770e-01,-3.653656991914716046e-01,-5.098973288636526879e-01,-3.653719129238961472e-01
4.000000000000000000e+01,1.863469423524711788e-01,1.863469423524711788e-01,-5.112676832505866908e-01,-3.288291292723233283e-01,-5.112674735371173229e-01,-3.288347216315070654e-01
4.100000000000000000e+01,1.863280646512908423e-01,1.863280646512908423e-01,-5.125007924853579588e-01,-2.959462163450910510e-01,-5.125006037432354722e-01,-2.959512494683558259e-01
4.200000000000000000e+01,1.863107273216326187e-01,1.863107273216326187e-01,-5.136105907966520556e-01,-2.663515947105805637e-01,-5.136104209287417621e-01,-2.663561245215202433e-01
4.300000000000000000e+01,1.862948419619598339e-01,1.862948419619598339e-01,-5.146094092768167538e-01,-2.397164352395222409e-01,-5.146092563956974342e-01,-2.397205120693692848e-01
4.400000000000000000e+01,1.862803166396286292e-01,1.862803166396286292e-01,-5.155083459089649933e-01,-2.157447917155692341e-01,-5.155082083159575612e-01,-2.157484608624329059e-01
4.500000000000000000e+01,1.862670585678378177e-01,1.862670585678378177e-01,-5.163173888778983533e-01,-1.941703125440117084e-01,-5.163172650441917311e-01,-1.941736147761900788e-01
4.600000000000000000e+01,1.862549760805020937e-01,1.862549760805020937e-01,-5.170455275499383774e-01,-1.747532812896110954e-01,-5.170454160996024173e-01,-1.747562532985700579e-01
4.700000000000000000e+01,1.862439800558857717e-01,1.862439800558857717e-01,-5.177008523547743657e-01,-1.572779531606505188e-01,-5.177007520494720794e-01,-1.572806279687135322e-01
4.800000000000000000e+01,1.862339849099167721e-01,1.862339849099167721e-01,-5.182906446791267774e-01,-1.415501578445868269e-01,-5.182905544043547863e-01,-1.415525651718416711e-01
4.900000000000000000e+01,1.862249092559168373e-01,1.862249092559168373e-01,-5.188214577710439368e-01,-1.273951420601289464e-01,-5.188213765237491559e-01,-1.273973086546567046e-01
5.000000000000000000e+01,1.862166763078539344e-01,1.862166763078539344e-01,-5.192991895537694136e-01,-1.146556278541170926e-01,-5.192991164312040775e-01,-1.146575777891918335e-01
5.100000000000000000e+01,1.862092140883966629e-01,1.862092140883966629e-01,-5.197291481582223538e-01,-1.031900650687056359e-01,-5.197290823479135957e-01,-1.031918200102737160e-01
5.200000000000000000e+01,1.862024554903413676e-01,1.862024554903413676e-01,-5.201161109022299778e-01,-9.287105856183502928e-02,-5.201160516729521621e-01,-9.287263800924513979e-02
5.300000000000000000e+01,1.861963382296504821e-01,1.861963382296504821e-01,-5.204643773718368172e-01,-8.358395270565212309e-02,-5.204643240654868164e-01,-8.358537420831967102e-02
5.400000000000000000e+01,1.861908047201729643e-01,1.861908047201729643e-01,-5.207778171944830170e-01,-7.522555743508803350e-02,-5.207777692187680607e-01,-7.522683678748812164e-02
5.500000000000000000e+01,1.861858018934908765e-01,1.861858018934908765e-01,-5.210599130348645414e-01,-6.770300169157909831e-02,-5.210598698567211473e-01,-6.770415310873799386e-02
5.600000000000000000e+01,1.861812809820556081e-01,1.861812809820556081e-01,-5.213137992912079133e-01,-6.093270152242256932e-02,-5.213137604308789586e-01,-6.093373779786404043e-02
5.700000000000000000e+01,1.861771972796162355e-01,1.861771972796162355e-01,-5.215422969219170035e-01,-5.483943137018165714e-02,-5.215422619476209887e-01,-5.484036401807657751e-02
5.800000000000000000e+01,1.861735098895720419e-01,1.861735098895720419e-01,-5.217479447895552180e-01,-4.935548823316349837e-02,-5.217479133126887714e-01,-4.935632761626785464e-02
5.900000000000000000e+01,1.861701814692615919e-01,1.861701814692615919e-01,-5.219330278704296111e-01,-4.441993940984633599e-02,-5.219329995412498313e-01,-4.442069485464106987e-02
6.000000000000000000e+01,1.861671779761125967e-01,1.861671779761125967e-01,-5.220996026432165316e-01,-3.997794546886098560e-02,-5.220995771469547631e-01,-3.997862536917574927e-02
6.100000000000000000e+01,1.861644684199489364e-01,1.861644684199489364e-01,-5.222495199387247045e-01,-3.598015092197481141e-02,-5.222494969920891128e-01,-3.598076283225725563e-02
