# Time, Reward, Height, Motor1Pos, Motor1Vel, Motor2Pos, Motor2Vel
0.000000000000000000e+00,5.010290000000015009e-01,2.505145000000007505e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.010290000000015009e-01,2.505145000000007505e-01,2.399824566430443576e-02,5.759578959433064860e+00,2.399827721492202998e-02,5.759586531581287083e+00
2.000000000000000000e+00,5.003450661735907579e-01,2.501725330867953789e-01,6.052023819699298146e-03,-4.307093242705232861e+00,1.403374388315455600e-02,-2.391487999624193783e+00
3.000000000000000000e+00,4.999783758838717285e-01,2.499891879419358642e-01,3.005027546799729152e-02,5.759580395591518354e+00,3.803202109807658771e-02,5.759586531581287083e+00
4.000000000000000000e+00,4.986186641477999837e-01,2.493093320738999918e-01,1.105791060074011456e-02,-4.558167568141722192e+00,2.143373129314716380e-02,-3.983589553183061405e+00
5.000000000000000000e+00,4.975221811757651880e-01,2.487610905878825940e-01,3.505614872031390800e-02,5.759577148697710314e+00,4.431569013786199052e-02,5.491670122731559189e+00
6.000000000000000000e+00,4.954729269019827465e-01,2.477364634509913732e-01,1.353767579682601391e-02,-5.164433501637094359e+00,2.139144927673234178e-02,-5.501817806671115640e+00
7.000000000000000000e+00,4.936722075296218204e-01,2.468361037648109102e-01,-1.046057287155370552e-02,-5.759579680411132330e+00,-2.606827938189688193e-03,-5.759586531581287083e+00
8.000000000000000000e+00,4.916462633143638961e-01,2.458231316571819480e-01,-3.445882414573992608e-02,-5.759580305804693268e+00,2.139144927673233831e-02,5.759586531581286195e+00
9.000000000000000000e+00,4.899567583751987532e-01,2.449783791875993766e-01,-4.126516414995103077e-02,-1.633521601010665236e+00,5.977945457021743500e-03,-3.699240916730542672e+00
1.000000000000000000e+01,4.870485883092344204e-01,2.435242941546172102e-01,-1.726691053837518114e-02,5.759580866778203578e+00,2.997622267194377521e-02,5.759586531581287083e+00
1.100000000000000000e+01,4.834987130831751023e-01,2.417493565415875512e-01,-2.808304310730428202e-02,-2.595871816542984156e+00,2.191894688416528778e-02,-1.933746189066837040e+00
1.200000000000000000e+01,4.800849272895182374e-01,2.400424636447591187e-01,-4.084789798294869573e-03,5.759580794162259210e+00,4.591722409908731428e-02,5.759586531581287083e+00
1.300000000000000000e+01,4.758548937906444953e-01,2.379274468953222477e-01,-1.182183756303658781e-02,-1.856891463538012488e+00,3.682133961604320410e-02,-2.183012275930586554e+00
1.400000000000000000e+01,2.358419017300866227e-01,2.358419017300866227e-01,1.217643965188543870e-02,5.759586531581286195e+00,6.081961683096523408e-02,5.759586531581286195e+00
1.500000000000000000e+01,2.338114830933848420e-01,2.338114830933848420e-01,3.471214971293313384e-04,-2.839036357141465849e+00,4.210339866574437651e-02,-4.491892359653006928e+00
1.600000000000000000e+01,2.321626796637884516e-01,2.321626796637884516e-01,2.434539871205135958e-02,5.759586531581287083e+00,6.610167588066639954e-02,5.759586531581287083e+00
1.700000000000000000e+01,2.305601355674428421e-01,2.305601355674428421e-01,8.427707047366308352e-03,-3.820245999524412461e+00,4.210339866574436957e-02,-5.759586531581287083e+00
1.800000000000000000e+01,2.293297616249349857e-01,2.293297616249349857e-01,8.969218454751293201e-03,1.299627377723964194e-01,2.239410474147645116e-02,-4.730230541824300694e+00
1.900000000000000000e+01,2.281683267452032371e-01,2.281683267452032371e-01,-1.502905876017073331e-02,-5.759586531581286195e+00,-1.604172473445578812e-03,-5.759586531581287083e+00
2.000000000000000000e+01,2.275134884112249289e-01,2.275134884112249289e-01,-3.902733597509276675e-02,-5.759586531581287083e+00,2.239410474147644770e-02,5.759586531581286195e+00
2.100000000000000000e+01,2.273287855792032186e-01,2.273287855792032186e-01,-4.550118690746019628e-02,-1.553724223768183421e+00,6.449863859232490837e-03,-3.826617811738549868e+00
2.200000000000000000e+01,2.270515647589030350e-01,2.270515647589030350e-01,-2.150290969253816631e-02,5.759586531581287083e+00,3.044814107415452081e-02,5.759586531581287083e+00
2.300000000000000000e+01,2.268274662969231859e-01,2.268274662969231859e-01,-3.164123383082066004e-02,-2.433197793187798830e+00,2.260210428473986150e-02,-1.883048829459518458e+00
2.400000000000000000e+01,2.269568039451170804e-01,2.269568039451170804e-01,-7.642956615898630068e-03,5.759586531581287083e+00,4.660038149966189147e-02,5.759586531581286195e+00
2.500000000000000000e+01,2.270365568849605775e-01,2.270365568849605775e-01,-1.473415974504973212e-02,-1.701888750996264577e+00,3.764984902691891067e-02,-2.148127793458315615e+00
2.600000000000000000e+01,2.274453952850203353e-01,2.274453952850203353e-01,9.264117469872294383e-03,5.759586531581286195e+00,6.164812624184094064e-02,5.759586531581287083e+00
2.700000000000000000e+01,2.278150438107039988e-01,2.278150438107039988e-01,-1.468060025138917188e-03,-2.575722598802690833e+00,4.365230720991911118e-02,-4.318996567661238295e+00
2.800000000000000000e+01,2.285140287131164072e-01,2.285140287131164072e-01,2.253021718978311105e-02,5.759586531581287083e+00,6.765058442484114809e-02,5.759586531581287083e+00
2.900000000000000000e+01,2.289832299717761421e-01,2.289832299717761421e-01,7.287132041935749996e-03,-3.658340435483366626e+00,4.365230720991953445e-02,-5.759586531581187607e+00
