#{"t_start": 1613242690.7856042, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-278.461522,73,0.172242
-205.218113,118,0.288209
-456.013547,77,2.576032
-480.089841,71,3.954819
-693.853445,63,5.386468
-138.497166,136,6.407557
-253.769892,149,8.356102
-239.150229,274,11.721718
-217.653771,123,16.37783
-536.224609,103,18.361073
-115.442594,79,19.840476
-304.520845,173,21.160898
-147.46262,80,23.87095
-108.226229,122,25.057675
-203.916801,138,26.794839
-471.075136,98,28.846966
-254.007165,172,30.423156
-325.20961,131,33.281676
-498.637835,240,35.391566
-386.456322,96,39.071598
-464.398551,82,40.630318
-490.826987,96,41.932753
-892.615167,243,44.062715
-489.158308,241,47.969892
-435.518401,130,52.564979
-703.767967,121,54.456874
-512.37075,195,56.646616
-384.378906,204,59.451934
-386.904116,323,62.963754
-373.852057,109,67.630385
-264.292005,114,69.228996
-269.222194,166,70.953838
-540.740087,166,73.58698
-436.607988,150,75.980581
-502.889757,180,78.348478
-94.687732,138,80.928427
-235.568658,158,83.285497
-282.098239,184,85.588016
-162.227718,129,88.505327
-279.231239,218,90.429032
-99.812957,201,93.816937
-104.877468,201,96.702288
-223.959961,264,100.17042
-122.990757,282,104.526417
-319.91995,251,109.13228
-159.780249,284,113.516243
-371.519309,720,119.813472
-148.753915,246,129.983071
-339.074385,316,134.142926
-127.997569,335,139.04024
-203.248832,254,144.570843
-424.013399,303,148.845923
-345.652227,308,153.685898
-264.029002,309,158.330661
-383.903471,561,164.93917
-215.463071,372,173.371823
-430.964437,991,183.255374
-309.282589,480,197.88512
-146.017511,273,205.016121
-207.383303,670,211.114999
-161.704981,216,220.523543
-193.110589,201,223.971227
-119.362047,1000,231.462996
-265.396219,598,247.29271
-296.922655,753,257.907726
-160.292281,188,268.445424
-261.051423,256,271.63245
-128.887424,138,275.399424
-308.303847,574,278.808875
-181.896637,500,288.022835
-79.103218,357,295.392749
-76.227202,306,300.792704
-126.776885,257,305.662812
-117.280157,344,310.578753
-132.031494,328,316.071416
-279.749165,367,321.515521
-132.558482,105,326.740544
-413.356235,607,329.850716
-115.792601,173,338.08075
-118.810316,111,340.738359
-160.124404,408,343.235031
-110.544128,194,349.13548
-348.500746,792,354.860784
-146.661208,196,366.132951
-137.076026,691,370.975867
-336.5205,601,382.868631
-154.577869,892,395.274371
-136.868751,238,408.193756
-234.818744,673,415.987488
-61.55378,1000,435.518959
-72.053663,349,451.29679
-201.648859,596,458.949897
-127.054789,309,468.915163
-212.66802,595,475.549812
-42.414515,389,485.375483
-197.078501,378,492.495154
-201.142417,499,499.702238
-136.363874,626,509.844513
-82.707785,407,520.463821
-92.152795,413,528.00332
-78.766211,1000,538.366221
-104.602339,715,555.896866
-144.726413,372,567.989222
-150.42977,1000,577.501559
-120.498685,332,593.002722
-198.468925,952,603.524879
-135.077043,1000,621.777744
-60.527658,1000,643.689245
-40.994524,340,660.922996
-95.666382,1000,674.216238
-208.200725,566,694.051292
-30.322006,453,705.420349
-70.460333,1000,721.808387
-86.852424,1000,745.184632
-69.93995,1000,768.806242
-130.747127,1000,791.383853
-147.733114,198,808.389412
-66.853678,255,812.293109
-125.206353,1000,821.900629
-121.604622,1000,843.697544
-81.354913,278,861.284655
-112.293323,1000,873.572767
-131.145587,1000,895.362628
-149.007778,672,915.531148
-130.464993,1000,932.927087
-69.235163,421,950.315719
-139.557967,1000,962.056682
-103.563048,356,977.941649
-70.642759,1000,989.512764
-146.239383,554,1008.233506
-231.573616,640,1019.976721
-231.433972,782,1033.673259
-124.494353,1000,1051.74984
-68.568504,1000,1072.4804
-258.354574,680,1093.190839
-24.656793,360,1107.059698
-61.268293,1000,1119.989112
-63.317638,1000,1142.796333
-190.824381,404,1160.62496
-245.498265,678,1169.758246
-215.217794,817,1184.878231
-101.236334,1000,1206.457361
-120.28715,1000,1229.032622
-181.89368,385,1247.254391
-208.063449,677,1257.369574
45.542219,1000,1274.468828
-66.557436,1000,1296.496733
45.364987,1000,1318.797477
-37.248141,1000,1339.455346
-40.741836,1000,1363.403969
-89.995476,564,1382.224419
-93.277013,516,1394.051925
12.01911,1000,1408.929328
-108.42882,747,1428.812198
-40.874814,1000,1447.081174
-191.400112,783,1468.976852
-112.48955,1000,1487.364651
-41.240613,1000,1513.690495
-37.864795,1000,1537.816166
-110.622497,410,1559.572568
-208.819998,823,1570.890913
-243.919525,972,1592.474699
-234.737161,911,1615.114294
-202.517096,745,1637.591567
-88.766621,1000,1656.861666
-106.379057,1000,1681.977952
-111.49366,1000,1708.743619
-112.911166,1000,1735.476088
45.165765,179,1756.639066
-24.91398,1000,1765.454295
267.142457,396,1786.917858
-13.37324,1000,1801.123553
-4.837443,1000,1827.228591
-5.780042,1000,1853.616709
1.848534,384,1874.898824
-12.85515,1000,1890.127975
-8.255803,284,1911.787447
-68.440082,1000,1922.423607
-9.21872,1000,1950.73976
-152.462683,711,1973.314839
-49.125136,1000,1996.696309
-27.021889,1000,2024.351606
-140.661381,611,2047.106759
-249.815952,438,2062.844762
-106.571584,1000,2077.300193
-61.563284,1000,2106.357531
10.084911,1000,2132.111619
