# Time, Rod Pos, Rod Vel, Actuator Pos, Actuator Vel, Actuator Accel, Power, Omega X, Omega P, Reward
0.000000000000000000e+00,-3.865996300088159199e-02,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.000000000000000021e-02,-3.780852474893934417e-02,8.514382519422449003e-02,1.240000057220458918e-01,-9.999942779541015625e-02,-9.999942779541015625e+00,1.002988521608767725e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
2.000000000000000042e-02,-3.618095296674152250e-02,1.627571782197821393e-01,1.220000139236450121e-01,-1.999991798400878873e-01,-9.999975204467773438e+00,2.005986799832713885e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
2.999999999999999889e-02,-3.390157549265523929e-02,2.279377474086286270e-01,1.190000229835510154e-01,-2.999990940093993919e-01,-9.999991416931152344e+00,3.008988330276658907e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
4.000000000000000083e-02,-3.112211318713264951e-02,2.779462305522590881e-01,1.150000322341918901e-01,-3.999990749359130793e-01,-9.999998092651367188e+00,4.011989956380705991e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
5.000000000000000278e-02,-2.799929226001088636e-02,3.122820927121764401e-01,1.100000415802001863e-01,-4.999990653991699396e-01,-9.999999046325683594e+00,5.014990147686898325e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
5.999999999999999778e-02,-2.467703390958194548e-02,3.322258350428939355e-01,1.040000509262084816e-01,-5.999990653991699174e-01,-1.000000000000000000e+01,6.017990625953673955e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
7.000000000000000666e-02,-2.127566756722006069e-02,3.401366342361883399e-01,9.700006027221677596e-02,-6.999990653991698952e-01,-1.000000000000000000e+01,7.020990625953673181e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
8.000000000000000167e-02,-1.788792464539667657e-02,3.387742921823384545e-01,8.900006961822506946e-02,-7.999990653991698730e-01,-1.000000000000000000e+01,8.023990625953674183e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
8.999999999999999667e-02,-1.457994358389207157e-02,3.307981061504604581e-01,8.000007896423337594e-02,-8.999990653991698508e-01,-1.000000000000000000e+01,9.026990625953672520e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.000000000000000056e-01,-1.139516587850348227e-02,3.184777705388589508e-01,7.000008831024168154e-02,-9.999990653991698286e-01,-1.000000000000000000e+01,1.002999062595367263e+01,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.100000000000000006e-01,-8.359366966915313460e-03,3.035798911588168392e-01,6.000008831024167960e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.199999999999999956e-01,-5.485667178780597592e-03,2.873699788134715938e-01,5.000008831024167766e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.300000000000000044e-01,-2.778914219498971033e-03,2.706752959281626403e-01,4.000008831024167572e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.400000000000000133e-01,-2.392114432552107720e-04,2.539702776243760174e-01,3.000008831024167377e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.499999999999999944e-01,2.135413465351820080e-03,2.374624908607030627e-01,2.000008831024167183e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,8.110584650421782948e-03
1.600000000000000033e-01,4.380481497897730295e-03,2.245068032545910197e-01,1.000008831024167162e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,1.519089830994108103e-02
1.700000000000000122e-01,6.495992654382520305e-03,2.115511156484789768e-01,8.831024167141321435e-08,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,2.072501853481005171e-02
1.799999999999999933e-01,8.481946934806189678e-03,1.985954280423669338e-01,0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,2.505654412772157294e-02
1.900000000000000022e-01,9.486901215229858950e-03,1.004954280423669272e-01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470000000000000639e+00,-8.470000000000000639e+00,2.802528249254768178e-02
2.000000000000000111e-01,9.510855495653528988e-03,2.395428042366920529e-03,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470000000000000639e+00,-8.470000000000000639e+00,2.809604590206873226e-02
2.099999999999999922e-01,8.553809776077198057e-03,-9.570457195763308611e-02,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470000000000000639e+00,-8.470000000000000639e+00,2.526883435628471397e-02
2.200000000000000011e-01,6.615764056500867026e-03,-1.938045719576330927e-01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470000000000000639e+00,-8.470000000000000639e+00,1.954364785519564079e-02
2.300000000000000100e-01,3.696718336924535893e-03,-2.919045719576330855e-01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470000000000000639e+00,-8.470000000000000639e+00,1.092048639880150752e-02
