# Time, Rod Pos, Rod Vel, Actuator Pos, Actuator Vel, Actuator Accel, Power, Omega X, Omega P, Reward
0.000000000000000000e+00,-3.865996300088159199e-02,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.000000000000000021e-02,-3.951140255202293533e-02,-8.514395511413462569e-02,1.259999958038330037e-01,9.999958038330078458e-02,9.999958038330078125e+00,1.002991582506674195e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
2.000000000000000042e-02,-4.113611971577237764e-02,-1.624717163749440085e-01,1.279999881744384727e-01,1.999992370605468972e-01,9.999965667724609375e+00,2.005985460689113875e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
2.999999999999999889e-02,-4.338872474599321516e-02,-2.252605030220840576e-01,1.309999778747558685e-01,2.999989700317383101e-01,9.999973297119140625e+00,3.008981634549070083e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
4.000000000000000083e-02,-4.605546062309624072e-02,-2.666735877103024177e-01,1.349999656677246251e-01,3.999987792968750511e-01,9.999980926513671875e+00,4.011980104088294752e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
5.000000000000000278e-02,-4.885879217408790193e-02,-2.803331550991658427e-01,1.399999519348144594e-01,4.999986267089844283e-01,9.999984741210937500e+00,5.014978573629416125e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
5.999999999999999778e-02,-5.147513998179786138e-02,-2.616347807709959450e-01,1.459999370574951161e-01,5.999985122680664418e-01,9.999988555908203125e+00,6.017978191011339462e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
7.000000000000000666e-02,-5.357166361571522040e-02,-2.096523633917359852e-01,1.529999214172363398e-01,6.999984359741211470e-01,9.999992370605468750e+00,7.020978956234502633e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
8.000000000000000167e-02,-5.486100888285840721e-02,-1.289345267143184315e-01,1.609999050140381027e-01,7.999983596801758523e-01,9.999992370605468750e+00,8.023977425778543449e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
8.999999999999999667e-02,-5.516142158243229204e-02,-3.004126995738846950e-02,1.699998880386352773e-01,8.999983024597169035e-01,9.999994277954101562e+00,9.026977808389869296e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.000000000000000056e-01,-5.444042846302794142e-02,7.209931194043539548e-02,1.799998706817627081e-01,9.999982643127443005e-01,9.999996185302734375e+00,1.002997876492210771e+01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.100000000000000006e-01,-5.282260096432152274e-02,1.617827498706416456e-01,1.899998706817627170e-01,1.000000000000000000e+00,9.999996185302734375e+00,1.002999617385864184e+01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.199999999999999956e-01,-5.055751686338391671e-02,2.265084100937607148e-01,1.999998706817627259e-01,1.000000000000000000e+00,9.999996185302734375e+00,1.002999617385864184e+01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.300000000000000044e-01,-4.796252915185038324e-02,2.594987711533530694e-01,2.099998706817627347e-01,1.000000000000000000e+00,9.999996185302734375e+00,1.002999617385864184e+01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.400000000000000133e-01,-4.536304927294472489e-02,2.599479878905655572e-01,2.199998706817627436e-01,1.000000000000000000e+00,9.999994277954101562e+00,1.002999426078796219e+01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.499999999999999944e-01,-4.304750742082530390e-02,2.315541852119424315e-01,2.299998706817627525e-01,1.000000000000000000e+00,9.999994277954101562e+00,1.002999426078796219e+01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.600000000000000033e-01,-4.124245118665067350e-02,1.805056234174628738e-01,2.399998706817627614e-01,1.000000000000000000e+00,9.999996185302734375e+00,1.002999617385864184e+01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.700000000000000122e-01,-4.010406652017457774e-02,1.138384666476099233e-01,2.499998706817627703e-01,1.000000000000000000e+00,9.999996185302734375e+00,1.002999617385864184e+01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.799999999999999933e-01,-3.971895619988630166e-02,3.851103202882791288e-02,2.500000000000000000e-01,1.000000000000000000e+00,9.999996185302734375e+00,1.002999617385864184e+01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.900000000000000022e-01,-3.925638759397668404e-02,4.625686059096160291e-02,2.500000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
2.000000000000000111e-01,-3.875418160843572407e-02,5.022059855409576057e-02,2.500000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
2.099999999999999922e-01,-3.825180975105688802e-02,5.023718573788337610e-02,2.500000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
2.200000000000000011e-01,-3.778720815179367060e-02,4.646015992632187425e-02,2.500000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
