# Time, Rod Pos, Rod Vel, Actuator Pos, Actuator Vel, Actuator Accel, Power, Omega X, Omega P, Reward
0.000000000000000000e+00,-3.865996300088159199e-02,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.000000000000000021e-02,-3.780851987694271166e-02,8.514431239388800532e-02,1.239999999999999991e-01,-1.000000000000000056e-01,-1.000000000000000000e+01,1.002999999999999892e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
2.000000000000000042e-02,-3.618094153441671346e-02,1.627578342525999311e-01,1.219999999999999973e-01,-2.000000000000000111e-01,-1.000000000000000000e+01,2.005999999999999783e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
2.999999999999999889e-02,-3.390155762321310495e-02,2.279383911203605173e-01,1.189999999999999947e-01,-3.000000000000000444e-01,-1.000000000000000000e+01,3.009000000000000341e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
4.000000000000000083e-02,-3.112208985426495600e-02,2.779467768948148398e-01,1.149999999999999911e-01,-4.000000000000000222e-01,-1.000000000000000000e+01,4.011999999999999567e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
5.000000000000000278e-02,-2.799926461002814893e-02,3.122825244236808184e-01,1.099999999999999867e-01,-5.000000000000000000e-01,-1.000000000000000000e+01,5.014999999999999680e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
5.999999999999999778e-02,-2.637920695047865291e-02,1.620057659549496154e-01,1.059991985321044744e-01,-4.000801467895507835e-01,9.991985321044921875e+00,4.009587738824576419e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
7.000000000000000666e-02,-2.630132089774023935e-02,7.788605273841203713e-03,1.029968957901000737e-01,-3.002302742004394620e-01,9.984987258911132812e+00,3.006788849018676046e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
8.000000000000000167e-02,-2.774795091854777643e-02,-1.446630020807538053e-01,1.009944559097289835e-01,-2.002439880371093828e-01,9.998628616333007812e+00,2.008171764843595497e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
8.999999999999999667e-02,-3.064402213799505975e-02,-2.896071219447281520e-01,9.999196453094480463e-02,-1.002491378784179793e-01,9.999485015869140625e+00,1.005447071325247022e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.000000000000000056e-01,-3.484344653070129555e-02,-4.199424392706233022e-01,9.998944988250731136e-02,-2.514648437500072164e-04,9.999767303466796875e+00,2.522133692270217033e-03,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.100000000000000006e-01,-4.009837191665106826e-02,-5.254925385949775762e-01,1.009869316101074110e-01,9.974817276000975952e-02,9.999963760375976562e+00,1.000470547102111141e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.199999999999999956e-01,-4.601761903610665505e-02,-5.919247119455582906e-01,1.029844131469726393e-01,1.997481536865234331e-01,9.999998092651367188e+00,2.003473599343493561e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.300000000000000044e-01,-5.203205719427345805e-02,-6.014438158166804937e-01,1.059818946838378684e-01,2.997481536865234109e-01,1.000000000000000000e+01,3.006473981475829671e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
