# Time, Rod Pos, Rod Vel, Actuator Pos, Actuator Vel, Actuator Accel, Power, Omega X, Omega P, Reward
0.000000000000000000e+00,-3.865996300088159199e-02,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.000000000000000021e-02,-3.951140612482047232e-02,-8.514431239388788042e-02,1.260000000000000009e-01,1.000000000000000056e-01,1.000000000000000000e+01,1.002999999999999892e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
2.000000000000000042e-02,-4.113612945050276054e-02,-1.624723325682291275e-01,1.280000000000000027e-01,2.000000000000000111e-01,1.000000000000000000e+01,2.005999999999999783e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
2.999999999999999889e-02,-4.338874199104345020e-02,-2.252612540540693264e-01,1.310000000000000053e-01,3.000000000000000444e-01,1.000000000000000000e+01,3.009000000000000341e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
4.000000000000000083e-02,-4.605548524384629749e-02,-2.666743252802848407e-01,1.350000000000000089e-01,4.000000000000000222e-01,1.000000000000000000e+01,4.011999999999999567e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
5.000000000000000278e-02,-4.885882270665052596e-02,-2.803337462804228464e-01,1.400000000000000133e-01,5.000000000000000000e-01,1.000000000000000000e+01,5.014999999999999680e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
5.999999999999999778e-02,-5.147517360548607007e-02,-2.616350898835541061e-01,1.460000000000000187e-01,5.999999999999999778e-01,1.000000000000000000e+01,6.017999999999999794e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
7.000000000000000666e-02,-5.357169639908119368e-02,-2.096522793595122502e-01,1.530000000000000249e-01,6.999999999999999556e-01,1.000000000000000000e+01,7.020999999999999019e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
8.000000000000000167e-02,-5.486103669510882658e-02,-1.289340296027634558e-01,1.610000000000000320e-01,7.999999999999999334e-01,1.000000000000000000e+01,8.023999999999999133e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
8.999999999999999667e-02,-5.516144071675911642e-02,-3.004040216502876226e-02,1.700000000000000400e-01,8.999999999999999112e-01,1.000000000000000000e+01,9.026999999999999247e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.000000000000000056e-01,-5.273755015227862136e-02,2.423890564480496723e-01,1.780000000000000471e-01,7.999999999999999334e-01,-1.000000000000000000e+01,8.023999999999999133e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.100000000000000006e-01,-4.798685865995837296e-02,4.750691492320245346e-01,1.850000000000000533e-01,6.999999999999999556e-01,-1.000000000000000000e+01,7.020999999999999019e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.199999999999999956e-01,-4.155608761807842721e-02,6.430771041879945749e-01,1.910000000000000586e-01,5.999999999999999778e-01,-1.000000000000000000e+01,6.017999999999999794e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.300000000000000044e-01,-3.412642003610182051e-02,7.429667581976605595e-01,1.960000000000000631e-01,5.000000000000000000e-01,-1.000000000000000000e+01,5.014999999999999680e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.400000000000000133e-01,-2.625545165009779067e-02,7.870968386004029149e-01,2.000000000000000666e-01,4.000000000000000222e-01,-1.000000000000000000e+01,4.011999999999999567e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.499999999999999944e-01,-1.831684012899888886e-02,7.938611521098900559e-01,2.030000000000000693e-01,3.000000000000000444e-01,-1.000000000000000000e+01,3.009000000000000341e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.600000000000000033e-01,-1.051448132049792247e-02,7.802358808500966525e-01,2.050000000000000711e-01,2.000000000000000389e-01,-1.000000000000000000e+01,2.006000000000000227e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.700000000000000122e-01,-2.931070563041606424e-03,7.583410757456315876e-01,2.060000000000000719e-01,1.000000000000000333e-01,-1.000000000000000000e+01,1.003000000000000336e+00,6.759999999999999787e+00,-5.759999999999999787e+00,0.000000000000000000e+00
1.799999999999999933e-01,4.417146452872993713e-03,7.348217015914599859e-01,2.060000000000000719e-01,2.775557561562891351e-17,-1.000000000000000000e+01,2.783884234247579848e-16,6.759999999999999787e+00,-5.759999999999999787e+00,2.174782542679612463e-02
