# Time, Rod Pos, Rod Vel, Actuator Pos, Actuator Vel, Actuator Accel, Power, Omega X, Omega P, Reward
0.000000000000000000e+00,-3.865996300088159199e-02,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.000000000000000021e-02,-3.780852052654226636e-02,8.514424743393286810e-02,1.240000007629394468e-01,-9.999992370605469139e-02,-9.999992370605468750e+00,1.002998469544040816e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
2.000000000000000042e-02,-3.618094285843349855e-02,1.627577668108765585e-01,1.220000016212463290e-01,-1.999999141693115101e-01,-9.999999046325683594e+00,2.005998947811208577e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
2.999999999999999889e-02,-3.390155952393511529e-02,2.279383334498384928e-01,1.190000024795532102e-01,-2.999999141693114879e-01,-1.000000000000000000e+01,3.008999139118194055e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
4.000000000000000083e-02,-3.112209221235981080e-02,2.779467311575304356e-01,1.150000033378600905e-01,-3.999999141693114657e-01,-1.000000000000000000e+01,4.011999139118193725e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
5.000000000000000278e-02,-2.799926730276536616e-02,3.122824909594443255e-01,1.100000041961669700e-01,-4.999999141693114435e-01,-1.000000000000000000e+01,5.014999139118193838e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
5.999999999999999778e-02,-2.467700602210774752e-02,3.322261280657616833e-01,1.040000050544738486e-01,-5.999999141693114213e-01,-1.000000000000000000e+01,6.017999139118193064e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
7.000000000000000666e-02,-2.127563765546949814e-02,3.401368366638250484e-01,9.700000591278074014e-02,-6.999999141693113991e-01,-1.000000000000000000e+01,7.020999139118193177e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
8.000000000000000167e-02,-1.788789342730793749e-02,3.387744228161559956e-01,8.900000677108763081e-02,-7.999999141693113769e-01,-1.000000000000000000e+01,8.023999139118192403e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
8.999999999999999667e-02,-1.457991158651772076e-02,3.307981840790215622e-01,8.000000762939452059e-02,-8.999999141693113547e-01,-1.000000000000000000e+01,9.026999139118192517e+00,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.000000000000000056e-01,-1.139513345918529569e-02,3.184778127332424935e-01,7.000000848770140949e-02,-9.999999141693113325e-01,-1.000000000000000000e+01,1.002999913911819263e+01,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.100000000000000006e-01,-8.359334345967157215e-03,3.035799113218137779e-01,6.000000848770140754e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.199999999999999956e-01,-5.485634475126661622e-03,2.873699870840495385e-01,5.000000848770140560e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.300000000000000044e-01,-2.778881484421490741e-03,2.706752990705170725e-01,4.000000848770140366e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.400000000000000133e-01,-2.391786900691993123e-04,2.539702794352291515e-01,3.000000848770140172e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,0.000000000000000000e+00
1.499999999999999944e-01,2.135446236297642957e-03,2.374624926366842026e-01,2.000000848770139977e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,2.372718040330714252e-03
1.600000000000000033e-01,4.380514286603364588e-03,2.245068050305721596e-01,1.000000848770139956e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,4.867238096225960653e-03
1.700000000000000122e-01,6.496025460847966448e-03,2.115511174244601167e-01,8.487701399356728515e-09,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,7.217806067608851031e-03
1.799999999999999933e-01,8.481979759031447672e-03,1.985954298183480737e-01,0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,9.470000000000000639e+00,-8.470000000000000639e+00,9.424421954479386687e-03
1.900000000000000022e-01,9.486934057214927926e-03,1.004954298183480671e-01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470000000000000639e+00,-8.470000000000000639e+00,1.054103784134991992e-02
2.000000000000000111e-01,9.510888355398408947e-03,2.395429818348060458e-03,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470000000000000639e+00,-8.470000000000000639e+00,1.056765372822045419e-02
2.099999999999999922e-01,8.553842653581889000e-03,-9.570457018165194618e-02,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470000000000000639e+00,-8.470000000000000639e+00,9.504269615090987777e-03
2.200000000000000011e-01,6.615796951765369818e-03,-1.938045701816519528e-01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470000000000000639e+00,-8.470000000000000639e+00,7.350885501961521538e-03
2.300000000000000100e-01,3.696751249948850102e-03,-2.919045701816519456e-01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470000000000000639e+00,-8.470000000000000639e+00,4.107501388832055476e-03
