# Time, Rod Pos, Rod Vel, Actuator Pos, Actuator Vel, Actuator Accel, Power, Omega X, Omega P, Reward
0.000000000000000000e+00,-3.865996300088159199e-02,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.000000000000000021e-02,-3.949489752662236480e-02,-8.349345257407733700e-02,1.259806110382080124e-01,9.806110382080078514e-02,9.806110382080078125e+00,9.644828022801530398e-01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
2.000000000000000042e-02,-4.110386050286882198e-02,-1.608962976246457455e-01,1.279602886199951162e-01,1.979677581787109286e-01,9.990665435791015625e+00,1.983763127954192518e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
2.999999999999999889e-02,-4.334358420633851322e-02,-2.239723703469690130e-01,1.309398159027099495e-01,2.979527282714843350e-01,9.998497009277343750e+00,2.988016700916046542e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
4.000000000000000083e-02,-4.600187996028450715e-02,-2.658295753945993378e-01,1.349192674636840727e-01,3.979451560974121005e-01,9.999242782592773438e+00,3.991087680664726189e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
5.000000000000000278e-02,-4.880252209426797633e-02,-2.800642133983466397e-01,1.398985422134399192e-01,4.979274749755859264e-01,9.998231887817382812e+00,4.993329541195658194e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
5.999999999999999778e-02,-5.142273142367544125e-02,-2.620209329407462429e-01,1.458774393081664900e-01,5.978897094726562944e-01,9.996223449707031250e+00,5.994569051571597029e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
7.000000000000000666e-02,-5.352965691819253774e-02,-2.106925494517094821e-01,1.528557819366455073e-01,6.978342628479003995e-01,9.994455337524414062e+00,6.995396793146695380e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
8.000000000000000167e-02,-5.483441549957089600e-02,-1.304758581378357707e-01,1.608329744338989342e-01,7.977192497253418058e-01,9.988498687744140625e+00,7.991921732107026166e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
8.999999999999999667e-02,-5.514695277736444967e-02,-3.125372777935507551e-02,1.698017713546753071e-01,8.968796920776367365e-01,9.916044235229492188e+00,8.920179196421813117e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.000000000000000056e-01,-5.273743406444459519e-02,2.409518712919855310e-01,1.777707603454589946e-01,7.968988990783691939e-01,-9.998079299926757812e+00,7.991360762170893750e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.100000000000000006e-01,-4.800092985855869410e-02,4.736504205885899710e-01,1.847397493362426812e-01,6.968988990783692161e-01,-1.000000000000000000e+01,6.989895957756043110e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.199999999999999956e-01,-4.158249681906210637e-02,6.418433039496586057e-01,1.907087383270263670e-01,5.968988990783692383e-01,-1.000000000000000000e+01,5.986895957756042996e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.300000000000000044e-01,-3.416267029898735486e-02,7.419826520074750409e-01,1.956777273178100518e-01,4.968988990783692605e-01,-1.000000000000000000e+01,4.983895957756043771e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.400000000000000133e-01,-2.629925275154931796e-02,7.863417547438036337e-01,1.996467163085937357e-01,3.968988990783692827e-01,-1.000000000000000000e+01,3.980895957756043657e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.499999999999999944e-01,-1.836654598646188935e-02,7.932706765087428336e-01,2.026157052993774188e-01,2.968988990783693049e-01,-1.000000000000000000e+01,2.977895957756043988e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.600000000000000033e-01,-1.056915763611732464e-02,7.797388350344564012e-01,2.045846942901611010e-01,1.968988990783692994e-01,-1.000000000000000000e+01,1.974895957756043874e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.700000000000000122e-01,-2.990338334772481808e-03,7.578819301344842385e-01,2.055536832809447823e-01,9.689889907836929384e-02,-1.000000000000000000e+01,9.718959577560439822e-01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.799999999999999933e-01,4.353377742833668129e-03,7.343716077606149417e-01,2.055226724624633350e-01,-3.101081848144379705e-03,-9.999998092651367188e+00,3.110384500429936791e-02,1.040000000000000036e+00,-4.000000000000003553e-02,2.157501056543642201e-02
1.900000000000000022e-01,1.156753377758088300e-02,7.214156034747215562e-01,2.044916653633117309e-01,-1.031007099151609874e-01,-9.999962806701660156e+00,1.034096274289635353e+00,1.040000000000000036e+00,-4.000000000000003553e-02,5.660261454667472186e-02
2.000000000000000111e-01,1.865206383511470306e-02,7.084530057533821035e-01,2.024607394218444489e-01,-2.030925941467283669e-01,-9.999188423156738281e+00,2.036853399569498180e+00,1.040000000000000036e+00,-4.000000000000003553e-02,8.904999892560147567e-02
2.099999999999999922e-01,2.560640024662719921e-02,6.954336411512495042e-01,1.994305613517760867e-01,-3.030178070068357821e-01,-9.992521286010742188e+00,3.036995622215769686e+00,1.040000000000000036e+00,-4.000000000000003553e-02,1.179754382978448757e-01
2.200000000000000011e-01,3.242940783690239498e-02,6.823007590275192991e-01,1.954024643898009950e-01,-4.028096961975096146e-01,-9.979188919067382812e+00,4.031773198957448123e+00,1.040000000000000036e+00,-4.000000000000003553e-02,1.427803147365291070e-01
2.300000000000000100e-01,3.912108457594169059e-02,6.691676739039292832e-01,1.903764509201049393e-01,-5.026013469696043456e-01,-9.979165077209472656e+00,5.030588434865828518e+00,1.040000000000000036e+00,-4.000000000000003553e-02,1.632054830430390291e-01
2.399999999999999911e-01,4.568007223228316704e-02,6.558987656341475070e-01,1.843541161537169959e-01,-6.022334766387937854e-01,-9.963212966918945312e+00,6.018180924710987867e+00,1.040000000000000036e+00,-4.000000000000003553e-02,1.793133869503305278e-01
2.500000000000000000e-01,5.209973368491084555e-02,6.419661452627677400e-01,1.773432552337645962e-01,-7.010860919952390802e-01,-9.885261535644531250e+00,6.951210636511007124e+00,1.040000000000000036e+00,-4.000000000000003553e-02,1.914530756617195684e-01
2.600000000000000089e-01,5.835390728629363810e-02,6.254173601382788661e-01,1.693745944023131722e-01,-7.968660831451414017e-01,-9.577999114990234375e+00,7.655279787047287954e+00,1.040000000000000036e+00,-4.000000000000003553e-02,2.003456518283930621e-01
2.700000000000000178e-01,6.415913182740799747e-02,5.805224541114354375e-01,1.607810522079467230e-01,-8.593542194366453613e-01,-6.248813629150390625e+00,5.386054191759654941e+00,1.040000000000000036e+00,-4.000000000000003553e-02,2.105433023933806491e-01
2.800000000000000266e-01,6.898793531455983674e-02,4.828803487151840934e-01,1.521821321487426271e-01,-8.598920059204100408e-01,-5.377864837646484375e-02,4.638256131761113454e-02,1.040000000000000036e+00,-4.000000000000003553e-02,2.263032927593464916e-01
