# Time, Rod Pos, Rod Vel, Actuator Pos, Actuator Vel, Actuator Accel, Power, Omega X, Omega P, Reward
0.000000000000000000e+00,-3.865996300088159199e-02,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
1.000000000000000021e-02,-3.780890785027475609e-02,8.510551506068393668e-02,1.240004556655883855e-01,-9.995443344116211604e-02,-9.995443344116210938e+00,1.002086143083733560e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
2.000000000000000042e-02,-3.618220275532743613e-02,1.626705094947322183e-01,1.220015208244323857e-01,-1.998934841156005948e-01,-9.993905067443847656e+00,2.003709653363462628e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
2.999999999999999889e-02,-3.390437172945095362e-02,2.277831025876481952e-01,1.190034973144531438e-01,-2.998023509979248491e-01,-9.990886688232421875e+00,3.004277191639009192e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
4.000000000000000083e-02,-3.112754854629084383e-02,2.776823183160108677e-01,1.150069749832153543e-01,-3.996522331237793435e-01,-9.984988212585449219e+00,4.002494405385011333e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
5.000000000000000278e-02,-2.800934538473578289e-02,3.118203161555060943e-01,1.100131349563598787e-01,-4.993840026855469461e-01,-9.973176956176757812e+00,4.995386362950409165e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
5.999999999999999778e-02,-2.469587467757377447e-02,3.313470707162009532e-01,1.040247398376464988e-01,-5.988395118713379928e-01,-9.945550918579101562e+00,5.973656223945566168e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
7.000000000000000666e-02,-2.131533818550785178e-02,3.380536492065921994e-01,9.705131921768189729e-02,-6.973420619964600942e-01,-9.850255012512207031e+00,6.889604133041077105e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
8.000000000000000167e-02,-1.799052292508365736e-02,3.324815260424194285e-01,8.912875986099244585e-02,-7.922559356689454768e-01,-9.491387367248535156e+00,7.542166803374204420e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
8.999999999999999667e-02,-1.496001322083610405e-02,3.030509704247554281e-01,8.046118588447571940e-02,-8.667573976516724787e-01,-7.450146198272705078e+00,6.476841738932169079e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
1.000000000000000056e-01,-1.289238838173054243e-02,2.067624839105561829e-01,7.178931627273560379e-02,-8.671869611740113948e-01,-4.295635223388671875e-02,3.736294212249514912e-02,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
1.100000000000000006e-01,-1.257235560907706169e-02,3.200327726534807349e-02,6.402655653953552572e-02,-7.762759733200075285e-01,9.091098785400390625e+00,7.078373162859581846e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
1.199999999999999956e-01,-1.405276853860369310e-02,-1.480412929526630783e-01,5.726058540344238640e-02,-6.765971136093141824e-01,9.967885971069335938e+00,6.764475605442725303e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
1.300000000000000044e-01,-1.729748950509136032e-02,-3.244720966487666391e-01,5.149424633979797494e-02,-5.766339063644411178e-01,9.996320724487304688e+00,5.781510121038832217e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
1.400000000000000133e-01,-2.224128485315925163e-02,-4.943795348067893114e-01,4.672776842117309232e-02,-4.766477918624879573e-01,9.998611450195312500e+00,4.780113517634863030e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
1.499999999999999944e-01,-2.876153928405471294e-02,-6.520254430895459086e-01,4.296123919486998649e-02,-3.766529226303102496e-01,9.999486923217773438e+00,3.777634982356843363e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
1.600000000000000033e-01,-3.661907873176766665e-02,-7.857539447712955649e-01,4.019468708038329008e-02,-2.766552114486696134e-01,9.999771118164062500e+00,2.774788259513379707e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
1.700000000000000122e-01,-4.536545111006458353e-02,-8.746372378296913830e-01,3.842811474800108401e-02,-1.766572332382204125e-01,9.999797821044921875e+00,1.771836225855403013e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
1.799999999999999933e-01,-5.423678690198354552e-02,-8.871335791918960600e-01,3.766150007247923148e-02,-7.666146755218525288e-02,9.999576568603515625e+00,7.688819612935390291e-01,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
1.900000000000000022e-01,-6.210751239472946106e-02,-7.870725492745916929e-01,3.789460310935972159e-02,2.331030368804912212e-02,9.997177124023437500e+00,2.337363464885564290e-01,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
2.000000000000000111e-01,-6.762366168601476046e-02,-5.516149291285296075e-01,3.911650829315183042e-02,1.221905183792112298e-01,9.888021469116210938e+00,1.211847136463247709e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
2.099999999999999922e-01,-6.868535902256397985e-02,-1.061697336549218273e-01,4.021152100563046838e-02,1.095012712478635741e-01,-1.268924713134765625e+00,1.393657158137056873e-01,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
2.200000000000000011e-01,-6.436779917539679763e-02,4.317559847167183329e-01,4.031532573699948829e-02,1.038047313690165785e-02,-9.912079811096191406e+00,1.032007544445389807e-01,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
2.300000000000000100e-01,-5.571254469698043443e-02,8.655254478416365416e-01,3.941936240196225461e-02,-8.959633350372334104e-02,-9.997680664062500000e+00,8.984427976341931021e-01,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
2.399999999999999911e-01,-4.437198713734134825e-02,1.134055755963908396e+00,3.752340011596676933e-02,-1.895962285995485552e-01,-9.999989509582519531e+00,1.901648177943050522e+00,1.070000000000000062e+00,-7.000000000000006217e-02,0.000000000000000000e+00
