# Time, Rod Pos, Rod Vel, Actuator Pos, Actuator Vel, Actuator Accel, Power, Omega X, Omega P, Reward
0.000000000000000000e+00,-3.865996300088159199e-02,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.000000000000000021e-02,-3.780852003934259686e-02,8.514429615389923489e-02,1.240000001907348576e-01,-9.999998092651367354e-02,-9.999998092651367188e+00,1.002999617385900599e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
2.000000000000000042e-02,-3.618094192632086148e-02,1.627578113021732886e-01,1.220000004768371504e-01,-1.999999713897704923e-01,-9.999999046325683594e+00,2.005999521732357405e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
2.999999999999999889e-02,-3.390155829648116431e-02,2.279383629839696612e-01,1.190000008583068786e-01,-2.999999618530273526e-01,-9.999999046325683594e+00,3.008999330425298879e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
4.000000000000000083e-02,-3.112209084674917234e-02,2.779467449731992112e-01,1.150000013351440420e-01,-3.999999523162841575e-01,-9.999999046325683594e+00,4.011999139118239910e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
5.000000000000000278e-02,-2.799926586830095085e-02,3.122824978448222044e-01,1.100000018119812045e-01,-4.999999523162841353e-01,-1.000000000000000000e+01,5.014999521732329768e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
5.999999999999999778e-02,-2.467700457703072767e-02,3.322261291270222072e-01,1.040000022888183662e-01,-5.999999523162841131e-01,-1.000000000000000000e+01,6.017999521732328994e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
7.000000000000000666e-02,-2.127563624474933593e-02,3.401368332281390350e-01,9.700000276565552693e-02,-6.999999523162840909e-01,-1.000000000000000000e+01,7.020999521732329107e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
8.000000000000000167e-02,-1.788789208298870864e-02,3.387744161760626871e-01,8.900000324249268679e-02,-7.999999523162840687e-01,-1.000000000000000000e+01,8.023999521732328333e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
8.999999999999999667e-02,-1.457991032957992907e-02,3.307981753408779646e-01,8.000000371932984577e-02,-8.999999523162840465e-01,-1.000000000000000000e+01,9.026999521732328446e+00,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.000000000000000056e-01,-1.139513230201589372e-02,3.184778027564035829e-01,7.000000419616700387e-02,-9.999999523162840243e-01,-1.000000000000000000e+01,1.002999952173232856e+01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.100000000000000006e-01,-8.359333294823922261e-03,3.035799007191970489e-01,6.000000419616700192e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
1.199999999999999956e-01,-5.485633532267875784e-03,2.873699762556046755e-01,5.000000419616699998e-02,-1.000000000000000000e+00,-1.000000000000000000e+01,1.002999999999999936e+01,1.040000000000000036e+00,-4.000000000000003553e-02,0.000000000000000000e+00
