# Time, Reward, Motor1Pos, Motor1Vel, Motor2Pos, Motor2Vel
0.000000000000000000e+00,2.600000000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.600000000000000089e-01,2.399824620265526148e-02,5.759579088637262423e+00,2.399827721492202998e-02,5.759586531581287083e+00
2.000000000000000000e+00,2.593314917027182975e-01,-4.526408622917976743e-10,-5.759579197271070150e+00,4.799655442984405995e-02,5.759586531581287083e+00
3.000000000000000000e+00,2.609881539010533991e-01,-2.399825663832534997e-02,-5.759581484564277432e+00,7.199483164476608299e-02,5.759586531581287083e+00
4.000000000000000000e+00,2.625768310154880103e-01,-4.799651370644655857e-02,-5.759581696349089341e+00,9.599310885968811990e-02,5.759586531581287083e+00
5.000000000000000000e+00,2.640913271904740123e-01,-7.199476722107629734e-02,-5.759580843511137083e+00,1.199913860746101568e-01,5.759586531581287083e+00
6.000000000000000000e+00,2.655168852816822689e-01,-9.599304443599832037e-02,-5.759586531581287083e+00,1.439896632895321937e-01,5.759586531581287083e+00
7.000000000000000000e+00,2.667314539912480909e-01,-1.199913216509203573e-01,-5.759586531581287083e+00,1.679879405044542307e-01,5.759586531581287083e+00
8.000000000000000000e+00,2.677003097291129619e-01,-1.439895988658423942e-01,-5.759586531581287083e+00,1.919862177193762676e-01,5.759586531581287083e+00
9.000000000000000000e+00,2.684571133336418614e-01,-1.679878760807644311e-01,-5.759586531581287083e+00,2.159844949342983045e-01,5.759586531581287083e+00
1.000000000000000000e+01,2.690083149716845368e-01,-1.919861532956864680e-01,-5.759586531581287083e+00,2.399827721492203414e-01,5.759586531581287083e+00
1.100000000000000000e+01,2.693545053518599519e-01,-2.159844304922353964e-01,-5.759586527171740578e+00,2.639810493641423506e-01,5.759586531581287083e+00
1.200000000000000000e+01,2.710505638784603821e-01,-2.399827076969170969e-01,-5.759586529123609466e+00,2.879793265790643875e-01,5.759586531581287083e+00
1.300000000000000000e+01,2.732626192532041642e-01,-2.639809849097102257e-01,-5.759586531070356230e+00,3.115412714991383503e-01,5.654866780817752847e+00
